MD(ft),Hookload(kips),Torque(klb-ft),SPP(psi)
3144.0,,5443.836941,2064.656036
3144.5,,5674.066691,2080.673398
3145.0,,5234.410114,2087.897042
3145.5,,5259.904372,2062.219825
3146.0,,5280.089358,2048.061161
3146.5,,5404.099227,2071.369849
3147.0,,5120.494057,2065.536135
3147.5,,5178.910287,2054.868495
3148.0,,4660.753183,2072.348847
3148.5,,5198.309815,2042.268346
3149.0,,5254.391008,2060.909528
3149.5,,5513.940881,2060.396036
3150.0,,5552.721599,2076.87927
3150.5,,5455.926354,2055.799127
3151.0,,5453.418649,2082.810788
3151.5,,5237.937638,2064.370128
3152.0,,5119.444001,2067.292998
3152.5,,5222.941496,2052.963324
3153.0,,5136.581649,2061.074432
3153.5,,4910.123649,2065.490984
3154.0,,4948.489813,2046.037512
3154.5,,5123.405254,2052.745722
3155.0,,5212.621464,2069.703701
3155.5,,5095.165063,2055.046541
3156.0,,5054.367417,2061.190867
3156.5,,5339.921878,2065.824449
3157.0,,5225.735636,2059.602984
3157.5,,5167.060077,2052.261433
3158.0,,5091.221553,2075.265882
3158.5,,4967.347286,2037.177689
3159.0,,4904.708295,2047.328549
3159.5,,4873.462566,2085.298446
3160.0,,5513.270078,2102.153623
3160.5,,5429.258501,2112.321796
3161.0,,5350.725089,2077.874897
3161.5,,5220.847796,2100.287512
3162.0,,5302.850442,2158.633744
3162.5,,5881.13313,2179.8515
3163.0,,5957.5144,2148.442923
3163.5,,5542.336354,2155.774406
3164.0,,4878.069877,2173.577041
3164.5,,5817.605456,2129.279929
3165.0,,5902.871682,2132.148325
3165.5,,5479.344996,2121.590655
3166.0,,5556.502205,2108.129376
3166.5,,5306.812285,2105.411166
3167.0,,5712.6698,2090.440399
3167.5,,5700.70639,2095.058253
3168.0,,5336.307262,2142.713857
3168.5,,5529.337207,2156.582014
3169.0,,5205.773143,2136.509641
3169.5,,5108.592512,2121.464971
3170.0,,5192.86196,2102.678381
3170.5,,5920.834782,2110.986631
3171.0,,5663.99859,2110.601729
3171.5,,5359.765482,2089.736827
3172.0,,5520.269615,2076.418381
3172.5,,4999.783197,2109.762032
3173.0,,5277.94006,2069.955109
3173.5,,5102.408136,2062.018262
3174.0,,5062.505387,2064.590975
3174.5,,5459.879364,2115.301147
3175.0,,5425.085962,2134.636528
3175.5,,5233.748445,2135.269043
3176.0,,5337.238786,2142.335541
3176.5,,5080.600254,2135.674804
3177.0,,4840.535727,2102.814879
3177.5,,5051.044523,2083.374243
3178.0,,5395.709978,2040.207288
3178.5,,5263.89453,2105.920583
3179.0,,5072.903207,2118.326212
3179.5,,5084.665358,2112.787571
3180.0,,5253.535172,2080.670804
3180.5,,5301.330723,2067.681915
3181.0,,5840.748491,2076.280497
3181.5,,5516.598856,2078.345979
3182.0,,5630.717919,2102.840671
3182.5,,5360.56784,2081.809446
3183.0,,5526.602493,2111.461876
3183.5,,5448.688779,2104.915568
3184.0,,5232.101707,2088.464481
3184.5,,5435.519172,2062.801347
3185.0,,5637.85354,2079.715133
3185.5,,5850.028703,2090.161612
3186.0,,5767.163399,2093.825813
3186.5,,5252.792556,2081.957873
3187.0,,5024.671325,2066.117972
3187.5,,5563.162337,2109.435838
3188.0,,5278.459943,2112.61379
3188.5,,5355.325173,2066.118209
3189.0,,5402.467221,2086.103677
3189.5,,5157.972669,2055.55523
3190.0,,5083.292468,2061.24107
3190.5,,5195.009787,2050.343591
3191.0,,5297.502295,2059.417805
3191.5,,5352.413424,2067.077419
3192.0,,5032.006972,2063.61487
3192.5,,5048.454653,2086.974224
3193.0,,5455.409321,2071.728641
3193.5,,5122.843466,2100.564906
3194.0,,5363.205334,2104.731318
3194.5,,4858.833063,1972.523223
3195.0,,4958.42465,1963.132422
3195.5,,5244.115298,2052.845317
3196.0,,5078.670337,2017.453751
3196.5,,5173.357382,1986.514188
3197.0,,5189.855154,1957.452521
3197.5,,5403.243352,2053.487989
3198.0,,5428.856459,2069.560218
3198.5,,5148.782118,2050.039727
3199.0,,5479.85474,2065.789558
3199.5,,5521.684506,2155.145559
3200.0,,5042.281111,2110.450169
3200.5,,5214.804006,2076.688506
3201.0,,5525.099841,2059.159254
3201.5,,5205.75925,2106.878989
3202.0,,5172.845373,2134.973526
3202.5,,5527.175633,2108.177911
3203.0,,5620.715955,2085.559428
3203.5,,5431.339865,2093.692863
3204.0,,5523.03445,2080.258648
3204.5,,5610.422444,2109.739083
3205.0,,5148.350506,2113.100079
3205.5,,5202.022027,2110.436485
3206.0,,5353.70934,2061.628776
3206.5,,5361.841453,2070.688103
3207.0,,5672.544221,2078.742212
3207.5,,5396.115616,2078.811617
3208.0,,5422.877636,2080.995317
3208.5,,5530.913339,2086.09382
3209.0,,5378.708718,2085.884375
3209.5,,5121.854954,2048.57116
3210.0,,5452.581057,2044.350139
3210.5,,5243.687692,2078.187049
3211.0,,5467.600167,2054.417071
3211.5,,5650.025962,2074.777709
3212.0,,5552.476946,2075.654007
3212.5,,5615.898312,2081.549959
3213.0,,5184.669354,2078.090348
3213.5,,4981.581384,2088.12166
3214.0,,5152.00414,2074.467163
3214.5,,5208.858343,2076.083283
3215.0,,5240.213382,2070.164103
3215.5,,5096.179669,2057.649283
3216.0,,4981.847469,2055.993148
3216.5,,4964.972335,2076.617029
3217.0,,5093.168249,2095.643546
3217.5,,5398.50376,2105.154239
3218.0,,5340.143659,2099.985584
3218.5,,4838.05351,2075.652511
3219.0,110.789218,4693.027339,2080.517277
3219.5,107.284191,5362.808348,2088.241099
3220.0,102.375222,5733.209351,2068.974464
3220.5,,5212.354868,1927.340879
3221.0,,5139.876441,1918.234242
3221.5,,5310.862065,2186.705431
3222.0,,5112.911824,2243.794131
3222.5,,5381.911176,2273.902005
