MD(ft),Hookload(kips),Torque(klb-ft),SPP(psi),Torque(klb-ft)
3227.5,,4607.257410,1552.287523,
3228,,4542.893913,1573.408998,
3228.5,,4761.749165,1590.220641,
3229,,4578.858635,1576.901061,
3229.5,,4857.683141,1609.113274,
3230,,5007.183585,1602.805022,
3230.5,,4694.211999,1610.426483,
3231,,4159.744922,1562.940444,
3231.5,,4221.815554,1519.911510,
3232,,4608.645745,1567.901318,
3232.5,,4143.472734,1567.867006,
3233,,4541.549267,1564.406363,
3233.5,,5031.246471,1636.337284,
3234,,4696.878957,1622.623182,
3234.5,,4943.209563,1617.339180,
3235,,4922.586446,1626.771364,
3235.5,,4808.780376,1627.700072,
3236,,4976.772403,1623.725301,
3236.5,,4653.030216,1595.423378,
3237,,4344.491843,1589.110987,
3237.5,,4400.971325,1572.451836,
3238,,4647.546806,1596.818626,
3238.5,,4551.224898,1588.476269,
3239,,4345.627995,1544.453782,
3239.5,,4122.381592,1563.718707,
3240,,4261.902249,1559.889035,
3240.5,,4485.059116,1573.186177,
3241,,4647.026800,1571.632152,
3241.5,,4785.395908,1582.819403,
3242,,4576.093772,1603.754019,
3242.5,,4179.921587,1573.831065,
3243,,4337.460362,1553.689257,
3243.5,,4647.819602,1564.323814,
3244,,4649.300096,1601.828725,
3244.5,,4754.368711,1604.656098,
3245,,4557.053762,1595.676309,
3245.5,,4880.983448,1581.187627,
3246,,4060.169174,1576.906612,
3246.5,,3527.059221,1520.066137,
3247,,3536.136577,1515.791635,
3247.5,,3892.631768,1505.327712,
3248,,3962.061248,1519.198084,
3248.5,,4186.546650,1516.606064,
3249,,4758.943651,1575.110642,
3249.5,,4547.927900,1592.120726,
3250,,3880.139786,1554.662861,
3250.5,,3919.744220,1527.192957,
3251,,4930.157628,1549.601389,
3251.5,,4790.367985,1628.929086,
3252,,4463.143218,1597.450616,
3252.5,,4805.233116,1627.749234,
3253,,4724.620250,1641.136006,
3253.5,,4440.152153,1620.123074,
3254,,4893.080712,1650.243881,
3254.5,,5596.707270,1656.373448,
3255,,5049.159583,1671.435901,
3255.5,,4055.311461,1589.288575,
3256,,4103.408594,1532.790843,
3256.5,,4961.804310,1594.509530,
3257,,3923.298201,1562.864535,
3257.5,,4017.960517,1517.609216,
3258,,4743.302589,1578.504697,
3258.5,,4948.088356,1629.823050,
3259,,4633.715529,1619.634999,
3259.5,,4654.253804,1632.663941,
3260,,3944.918538,1584.695684,
3260.5,,4350.810654,1573.891420,
3261,,3808.960928,1546.993733,
3261.5,,4181.079779,1561.613425,
3262,,3992.561502,1577.336183,
3262.5,,3777.462833,1514.129687,
3263,,4167.149740,1538.557563,
3263.5,,4612.687897,1584.239345,
3264,,4841.692201,1613.893919,
3264.5,,5014.074391,1655.738785,
3265,,5140.788054,1662.865887,
3265.5,,4731.850510,1642.001180,
3266,,2914.644453,1506.592050,
3266.5,,3276.650665,1441.996636,
3267,,4072.457872,1528.834105,
3267.5,,4505.074309,1594.477801,
3268,,4363.659658,1590.767363,
3268.5,,3847.837976,1546.880225,
3269,,3876.490642,1515.917064,
3269.5,,4174.938032,1542.076322,
3270,,3469.023045,1524.931070,
3270.5,,3724.285433,1501.051690,
3271,,4391.044357,1552.214582,
3271.5,,4510.468435,1589.095406,
3272,,4405.249640,1582.255404,
3272.5,,4309.542782,1573.342073,
3273,,4599.496116,1607.004248,
3273.5,,4352.656118,1615.071311,
3274,,3884.247666,1592.144961,
3274.5,,4080.558309,1579.325536,
3275,,4313.343304,1595.739134,
3275.5,,4069.289138,1588.422677,
3276,,4278.338696,1594.844812,
3276.5,,4673.371573,1609.827481,
3277,,4211.269646,1623.953850,
3277.5,,4453.157198,1594.457521,
3278,,4596.527404,1617.029387,
3278.5,,4795.294863,1628.385991,
3279,,4537.764178,1637.554175,
3279.5,,4820.208952,1648.720914,
3280,,4703.267194,1632.885049,
3280.5,,3693.803329,1585.136755,
3281,,3113.020973,1478.925728,
3281.5,,4254.811418,1527.820826,
3282,,4473.477080,1603.663479,
3282.5,,4508.829158,1610.346816,
3283,,3884.625359,1611.478132,
